"places","lon","lat"
"Saint Ignatius, MT, United States",-114.0939979,47.3199306
"Des Moines, IA, United States",-93.6091064,41.6005448
"Louisville, KY, United States",-85.7584557,38.2526647
"White Bluff, TN, United States",-87.2208409,36.1075593
"Owensboro, KY, United States",-87.1111676,37.7719074
"North Augusta, SC, United States",-81.9651152,33.5018026
"Lexington, SC, United States",-81.2362107,33.9815369
"Fairfield, CA, United States",-122.0399663,38.2493581
"Jackson, MI, United States",-84.4013462,42.245869
"Hinsdale County, CO, United States",-107.3848831,37.9316309
"Shawnee County, KS, United States",-95.8142885,39.0928449
"Baltimore, MD, United States",-76.6121893,39.2903848
"Bronx, NY, United States",-73.8648268,40.8447819
"Staten Island, NY, United States",-74.1502007,40.5795317
"El Paso, TX, United States",-106.4850217,31.7618778
"Aberdeen, WA, United States",-123.8157218,46.9753708
"Sylvania, GA, United States",-81.636776,32.7504441
"Gainesville, FL, United States",-82.3248262,29.6516344
"Spring City, PA, United States",-75.5476876,40.1767688
"Fort Lauderdale, FL, United States",-80.1373174,26.1224386
"Big Sandy, TX, United States",-95.1088328,32.5837521
"Coopersburg, PA, United States",-75.390458,40.5114885
"Chicago, IL, United States",-87.6297982,41.8781136
"Eagan, MN, United States",-93.1668858,44.8041322
"Warren, MI, United States",-83.0146526,42.5144566
"Gettysburg, PA, United States",-77.2310955,39.8309293
"Oklahoma City, OK, United States",-97.5164276,35.4675602
"Saint Charles, MO, United States",-90.4974359,38.7881062
"Millersburg, PA, United States",-76.9608103,40.5395289
"Scranton, PA, United States",-75.6624122,41.408969
"Linwood, KS, United States",-95.0391356,39.001392
"Kansas City, MO, United States",-94.5785667,39.0997265
"Mesa, AZ, United States",-111.8314724,33.4151843
"Greenacres City, FL, United States",-80.1353896,26.6276276
"Allentown, PA, United States",-75.4901833,40.6084305
"Carrollton, TX, United States",-96.8899636,32.9756415
"Pittsburgh, PA, United States",-79.9958864,40.4406248
"Stow, MA, United States",-71.5056199,42.4370374
"Blairsville, PA, United States",-79.260869,40.4311796
"Clancy, MT, United States",-111.9863826,46.4652096
"Tampa, FL, United States",-82.4571776,27.950575
"Reno, NV, United States",-119.8138027,39.5296329
"Greeley, CO, United States",-104.7091322,40.4233142
"Houston, TX, United States",-95.3698028,29.7604267
"Clairton, PA, United States",-79.881715,40.292292
"Idaho Springs, CO, United States",-105.5136081,39.7424881
"Inglewood, CA, United States",-118.3531311,33.9616801
"San Benito, TX, United States",-97.6311006,26.132576
"Jay, ME, United States",-70.2161924,44.5039265
"Lynbrook, NY, United States",-73.6717969,40.6548253
"Niagara Falls, NY, United States",-79.0377388,43.0962143
"Secane, PA, United States",-75.302131,39.9140013
"Leominster, MA, United States",-71.759794,42.5250906
"Hallsville, TX, United States",-94.5740934,32.504316
"South Lake Tahoe, CA, United States",-119.9771868,38.939926
"Menlo Park, CA, United States",-122.1817252,37.4529598
"Maple Grove, MN, United States",-93.4557877,45.0724642
"Williamsburg, VA, United States",-76.7074571,37.2707022
"Maple Heights, OH, United States",-81.565956,41.4153313
"Oracle, AZ, United States",-110.7709348,32.6109054
"North Las Vegas, NV, United States",-115.1175013,36.1988592
"Columbus, MS, United States",-88.4272627,33.4956744
"Hilton Head, SC, United States",-80.752608,32.216316
"Manchester, NH, United States",-71.4547891,42.9956397
"Santa Fe, TX, United States",-95.1057625,29.3780129
"Shawnee, OK, United States",-96.9253004,35.3272928
"Zelienople, PA, United States",-80.1367271,40.7945096
"Kennewick, WA, United States",-119.1372338,46.2112458
"Killeen, TX, United States",-97.7277959,31.1171194
"Aransas Pass, TX, United States",-97.1499898,27.9094677
"Moncks Corner, SC, United States",-80.0131374,33.1960027
"Atlantic City, NJ, United States",-74.4229266,39.3642834
"Albany, NY, United States",-73.7562317,42.6525793
"Toledo, OH, United States",-83.555212,41.6639383
"Las Vegas, NV, United States",-115.1398296,36.1699412
"Morning View, KY, United States",-84.4563282,38.8320105
"Tyrone, PA, United States",-78.2386244,40.6706184
"Thorntown, IN, United States",-86.6066706,40.1294838
"Bedford, IA, United States",-94.721358,40.666932
"Atlanta, GA, United States",-84.3879824,33.7489954
"Lancaster, CA, United States",-118.1541632,34.6867846
"Miami Township, OH, United States",-84.2489525,39.6128751
"San Jose, CA, United States",-121.8863286,37.3382082
"Pinole, CA, United States",-122.2988587,38.0043667
"Bath, MI, United States",-84.4485591,42.8187367
"Lauderhill, FL, United States",-80.2133808,26.1403635
"Fort Worth, TX, United States",-97.3307658,32.7554883
"Jackson, MS, United States",-90.1848103,32.2987573
"Lander, WY, United States",-108.7306725,42.833014
"Wallingford, CT, United States",-72.8230736,41.4570108
"Rochester, NH, United States",-70.9756186,43.304526
"Half Moon Bay, CA, United States",-122.4285862,37.4635519
"Ann Arbor, MI, United States",-83.7430378,42.2808256
"Santa Ana, CA, United States",-117.8678338,33.7455731
"Pacific Palisades, CA, United States",-118.5155901,34.0356331
"Daingerfield, TX, United States",-94.7218731,33.031793
"Portland, OR, United States",-122.6764816,45.5230622
"Remsen, NY, United States",-75.1868317,43.3270136
"San Antonio, TX, United States",-98.4936282,29.4241219
"Glendale, OR, United States",-118.255075,34.1425078
"Tyler, TX, United States",-95.3010624,32.3512601
"Victoria, NULL, Canada",-123.3812524,48.4333116
"Kailua, HI, United States",-157.7394444,21.4022222
"Middletown Springs, VT, United States",-73.1181624,43.4856255
"Spring Lake, NC, United States",-78.9728056,35.1679395
"Moscow Mills, MO, United States",-90.9181916,38.9478267
"Akron, OH, United States",-81.5190053,41.0814447
"Mc Kees Rocks, PA, United States",-80.0656106,40.4656244
"Del Haven, NJ, United States",-74.9196203,39.0467066
"Gilmer, TX, United States",-94.9424379,32.7287472
"Los Angeles, CA, United States",-118.2436849,34.0522342
"Belleville, IL, United States",-89.9839935,38.5200504
"Woodville, MS, United States",-91.2995551,31.104619
"Inver Grove Heights, MN, United States",-93.0427153,44.8480218
"Pensacola, FL, United States",-87.2169149,30.421309
"Creole, LA, United States",-93.1112612,29.7960529
"Tacoma, WA, United States",-122.4442906,47.2528768
"Myrtle Beach, SC, United States",-78.8866943,33.6890603
"Running Springs, CA, United States",-117.1092049,34.2077859
"New Castle, PA, United States",-80.347009,41.0036719
"Brookwood, AL, United States",-87.3208336,33.2556719
"Carson, CA, United States",-118.281693,33.8316745
"Newark, NJ, United States",-74.1723667,40.735657
"Muscoy, CA, United States",-117.3442118,34.1541763
"New Columbia, PA, United States",-76.866908,41.0409176
"El Cajon, CA, United States",-116.9625269,32.7947731
"Brentwood, MD, United States",-76.9568974,38.9437631
"Birmingham, AL, United States",-86.80249,33.5206608
"Tucson, AZ, United States",-110.926479,32.2217429
"Brockton, MA, United States",-71.0183787,42.0834335
"Joplin, MO, United States",-94.513281,37.0842271
"Port Salerno, FL, United States",-80.2006014,27.1442168
"Alfred, ME, United States",-70.7161687,43.4764994
"Van Nuys, CA, United States",-118.451357,34.1898566
"Spokane, WA, United States",-117.4260466,47.6587802
"Pearce, AZ, United States",-109.8206232,31.9050865
"Prospect, OR, United States",-85.615517,38.345068
"Litchfield, NY, United States",-75.1457455,42.9777236
"Brunswick, GA, United States",-81.4914894,31.1499528
"Pompano Beach, FL, United States",-80.1247667,26.2378597
"Grand Rapids, MI, United States",-85.6680863,42.9633599
"Toronto, NULL, Canada",-79.392985,43.6712268
"Aiken, SC, United States",-81.7195533,33.5604168
"Challis, ID, United States",-114.2317308,44.5046445
"Deland, FL, United States",-81.3031179,29.028318
"Tupelo, MS, United States",-88.7033859,34.2576066
"Perdido Beach, AL, United States",-87.5049805,30.3407558
"Petal, MS, United States",-89.2600605,31.3465627
"Homewood, IL, United States",-87.6656014,41.5572567
"Dillon, SC, United States",-79.3711579,34.4165505
"Riviera Beach, FL, United States",-80.0580969,26.7753405
"Marathon, FL, United States",-81.0446262,24.726026
"Roanoke, VA, United States",-79.9414266,37.2709704
"Elyria, OH, United States",-82.1076486,41.3683798
"Narrowsburg, NY, United States",-75.0581943,41.602546
"Rancho Cordova, CA, United States",-121.302728,38.5890723
"Fort Myers, FL, United States",-81.8723084,26.640628
"Norfolk, VA, United States",-76.2858726,36.8507689
"Miami Shores, FL, United States",-80.1928253,25.8631515
"Moore, OK, United States",-97.4867028,35.3395079
"Lockhart, TX, United States",-97.6699996,29.8849441
"Kirby, WV, United States",-78.7261273,39.1828825
"Saint Louis, MO, United States",-90.1994042,38.6270025
"Choctaw, OK, United States",-97.2689212,35.4975625
"Arcadia, FL, United States",-81.8584164,27.2158826
"Lawrenceville, GA, United States",-83.9879625,33.9562149
"Albuquerque, NM, United States",-106.6055534,35.0853336
"Honolulu, HI, United States",-157.8583333,21.3069444
"Livonia, MI, United States",-83.3527097,42.36837
"Columbia, MO, United States",-92.3340724,38.9517053
"Williston, ND, United States",-103.6179745,48.1469683
"Amityville, NY, United States",-73.4170673,40.6789893
"Bullhead City, AZ, United States",-114.5285981,35.1359386
"Agua Prieta, NULL, Mexico",NA,NA
"LaSalle, IL, United States",-89.0418249,41.3621503
"Alma, AR, United States",-94.2218752,35.4778653
"Garden City, KS, United States",-100.8726618,37.9716898
"Miami, FL, United States",-80.1917902,25.7616798
"Spanish Fork, UT, United States",-111.654923,40.114955
"Neah Bay, WA, United States",-124.6249602,48.3681223
"Big Bear Lake, CA, United States",-116.9114215,34.2438963
"Las Cruces, NM, United States",-106.7636538,32.3199396
"Kingston, NY, United States",-73.9973608,41.9270367
"Parker, CO, United States",-104.7613633,39.5186002
"Bolingbrook, IL, United States",-88.0683955,41.6986416
"Great Falls, MT, United States",-111.2833449,47.4941836
"Needles, CA, United States",-114.6141315,34.8480597
"Mixon, TX, United States",-95.2102252,32.0887726
"Berkeley, CA, United States",-122.272747,37.8715926
"Baytown, TX, United States",-94.9774274,29.7355047
"Union, MO, United States",-91.0084762,38.4500517
"Raymond, WA, United States",-123.7329385,46.6864887
"Chiloquin, OR, United States",-121.8661258,42.5776364
"Santa Fe, NM, United States",-105.937799,35.6869752
"Portland, ME, United States",-70.2553259,43.661471
"South Bend, IN, United States",-86.2519898,41.6763545
"New Lisbon, NJ, United States",-74.6282653,39.9583094
"LaGrange, GA, United States",-85.0322444,33.0362218
"Clinton, MD, United States",-76.8983059,38.7651145
"Uncasville, CT, United States",-72.1100945,41.4316905
"Goodlettsville, TN, United States",-86.7133302,36.3231066
"El Monte, CA, United States",-118.0275667,34.0686206
"Burbank, CA, United States",-118.3089661,34.1808392
"Moline, IL, United States",-90.5151342,41.5067003
"Bryan County, OK, United States",-96.3226072,33.902127
"Bonney Lake, WA, United States",-122.1865056,47.1770457
"Milan, TN, United States",-88.7589488,35.9197885
"Memphis, TN, United States",-90.0489801,35.1495343
"Lynn, MA, United States",-70.9494938,42.466763
"Ypsilanti, MI, United States",-83.6129939,42.2411499
"Pottsville, PA, United States",-76.195499,40.6856456
"Willingboro, NJ, United States",-74.8916458,40.028848
"Townsend, MA, United States",-71.7051265,42.6667718
"Columbus, OH, United States",-82.9987942,39.9611755
"Bloomington, CA, United States",-117.3958797,34.07029
"Reseda, CA, United States",-118.5360517,34.2011141
"Midwest City, OK, United States",-97.3967019,35.4495065
"Monroe, MI, United States",-83.3977101,41.9164343
"Goose Creek, SC, United States",-80.0325867,32.9810059
"Glendora, CA, United States",-117.865339,34.1361187
"Chickasha, OK, United States",-97.9364326,35.052565
"San Diego, CA, United States",-117.1610838,32.715738
"Miami Beach, FL, United States",-80.1300455,25.790654
"Federal Way, WA, United States",-122.3126222,47.3223221
"Ocala, FL, United States",-82.1400923,29.1871986
"St. John's, NULL, Canada",-52.7125768,47.5615096
"Winston-Salem, NC, United States",-80.244216,36.0998596
"McCloud, CA, United States",-122.1394487,41.2557119
"Catawba, SC, United States",-80.9111862,34.8529233
"Rowland Heights, CA, United States",-117.9053395,33.9761238
"Mattapan, MA, United States",-71.0913748,42.2771417
"Tehachapi, CA, United States",-118.4489739,35.1321877
"Richmond, MO, United States",-93.9768876,39.278622
"Cedar Springs, MI, United States",-85.5514237,43.2233604
"Waterbury, CT, United States",-73.0514965,41.5581525
"Salisbury, MD, United States",-75.5993692,38.3606736
"Crestview, FL, United States",-86.5727995,30.7541808
"Opp, AL, United States",-86.2555067,31.2826685
"Sturgis, MI, United States",-85.4191482,41.799217
"Glens Falls, NY, United States",-73.6440058,43.3095164
"Sisters, OR, United States",-121.5492118,44.2909491
"Greensboro, NC, United States",-79.7919754,36.0726354
"Muskogee, OK, United States",-95.3696909,35.7478769
"Valrico, FL, United States",-82.2420317,27.9462615
"Bristow, IN, United States",-77.5367043,38.723303
"Eureka, CA, United States",-124.1636729,40.8020712
"Hartford, CT, United States",-72.6850932,41.7637111
"Brooksville, KY, United States",-84.0657632,38.6825719
"Fayetteville, NC, United States",-78.8783585,35.0526641
"Ventura, CA, United States",-119.2290316,34.274646
"Lexington, KY, United States",-84.5037164,38.0405837
"Santa Isabel, PR, United States",-66.3897939,18.0046774
"Lawrence, MA, United States",-71.1631137,42.7070354
"Wheaton, MD, United States",-77.0552555,39.0398314
"West Covina, CA, United States",-117.9389526,34.0686208
"Big Island, HI, United States",-155.6658568,19.5429151
"Lemmon Valley, NV, United States",-119.8432487,39.6360206
"The Woodlands, TX, United States",-95.4612625,30.1658207
"Shawnee, KS, United States",-94.7151865,39.0228485
"Makawao, HI, United States",-156.3130556,20.8569444
"Strasburg, VA, United States",-78.358616,38.9887199
"Monterey, CA, United States",-121.8946761,36.6002378
"Redding, CA, United States",-122.3916754,40.5865396
"Unadilla, GA, United States",-83.7365656,32.2615496
"Niles, IL, United States",-87.8028402,42.0189191
"Alexandria, VA, United States",-77.0469214,38.8048355
"Amarillo, TX, United States",-101.8312969,35.2219971
"Guayanilla, PR, United States",-66.791842,18.0191314
"Gillette, WY, United States",-105.5022205,44.2910915
"Seattle, WA, United States",-122.3320708,47.6062095
"Naples, FL, United States",-81.7948103,26.1420358
"Bonanza, OR, United States",-121.4061076,42.1987607
"Wilmington, DE, United States",-75.5397878,39.7390721
"Fontana, CA, United States",-117.435048,34.0922335
"Flint, MI, United States",-83.6874562,43.0125274
"Henderson, NV, United States",-114.9817213,36.0395247
"Webster, MA, United States",-71.8800628,42.050091
"Rosemead, CA, United States",-118.072846,34.0805651
"Spanaway, WA, United States",-122.4345661,47.103988
"Port Saint Lucie, FL, United States",-80.3582261,27.2730492
"Bridgeport, CT, United States",-73.1951767,41.1865478
"Dobbs Ferry, NY, United States",-73.872635,41.0145418
"Medford, OR, United States",-122.8755949,42.3265152
"Klamath Falls, OR, United States",-121.7816704,42.224867
"Yuma, AZ, United States",-114.6276916,32.6926512
"Ruston, LA, United States",-92.637927,32.5232053
"Mousie, KY, United States",-82.8779013,37.418563
"Clearwater, FL, United States",-82.8001026,27.9658533
"Grants Pass, OR, United States",-123.3283925,42.4390069
"Columbia Falls, MT, United States",-114.1804038,48.3799643
"Gardena, CA, United States",-118.3089624,33.8883487
"Greenville, AL, United States",-86.6177517,31.8295972
"Saratoga Springs, NY, United States",-73.7845651,43.0831301
"Woburn, MA, United States",-71.1522765,42.4792618
"Rawlins, WY, United States",-107.2386627,41.7910697
"Atwater, CA, United States",-120.609084,37.3477174
"Ramona, CA, United States",-116.8792553,33.0413604
"Eldon, MO, United States",-92.5815759,38.3483636
"West Sacramento, CA, United States",-121.530234,38.5804609
"Honeydew, CA, United States",-124.1230133,40.2432341
"Jefferson City, TN, United States",-83.492396,36.122311
"Bradenton, FL, United States",-82.5748194,27.4989278
"Otsego, MI, United States",-85.696406,42.4605904
"Washington, DC, United States",-77.0368707,38.9071923
"Fort Jackson, SC, United States",-80.9501652,34.0170912
"Tulsa, OK, United States",-95.992775,36.1539816
"Augusta, GA, United States",-82.0105148,33.4734978
"La Mesa, CA, United States",-117.0230839,32.7678287
"Winterhaven, CA, United States",-114.6346751,32.739491
"Mansfield, TX, United States",-97.1416768,32.5631924
"Pinyon Pines, CA, United States",-116.4527917,33.5894713
"Jefferson, LA, United States",-90.1531298,29.9660371
"San Bernardino, CA, United States",-117.2897652,34.1083449
"Charleston, SC, United States",-79.9310512,32.7764749
"Jacksonville Beach, FL, United States",-81.3961338,30.2841224
"Concord, NH, United States",-71.5375718,43.2081366
"Hollywood, CA, United States",-118.3286614,34.0928092
"Sparks, NV, United States",-119.7526886,39.5349112
"Oak Park, IL, United States",-87.7845025,41.8850317
"Keota, IA, United States",-91.9537859,41.3639015
"Westfield, MA, United States",-72.749538,42.1250929
"Katonah, NY, United States",-73.6854137,41.2587043
"Barre, MA, United States",-72.1051002,42.4229047
"Saint Paul, MN, United States",-93.0899578,44.9537029
"Brandon, FL, United States",-82.2859247,27.937801
"Ashland, KY, United States",-82.6379387,38.4784144
"Saint Petersburg, FL, United States",-82.6267345,27.7518284
"Palestine, TX, United States",-95.6307891,31.7621153
"Coupeville, WA, United States",-122.6862804,48.2198208
"Taholah, WA, United States",-124.29324,47.3473047
"San Mateo, CA, United States",-122.3255254,37.5629917
"Bismarck, ND, United States",-100.7837392,46.8083268
"Hialeah, FL, United States",-80.2781057,25.8575963
"Napa, CA, United States",-122.286865,38.2975381
"Trenton, MI, United States",-83.1782587,42.1394858
"Bakersfield, CA, United States",-119.0187125,35.3732921
"Chino, CA, United States",-117.688944,34.0122346
"Fort McCoy, FL, United States",-81.9670322,29.3649734
"Dallas, GA, United States",-84.8413056,33.9244531
"Montgomery, AL, United States",-86.2999689,32.3668052
"Kettering, OH, United States",-84.1688274,39.6895036
"Granby, CO, United States",-105.9394597,40.086097
"Bethany, OK, United States",-97.6322639,35.5186678
"Davenport, IA, United States",-90.5776367,41.5236437
"Anacortes, WA, United States",-122.6126718,48.5126045
"Hot Springs, AR, United States",-93.0551795,34.5037004
"Chaparral, NM, United States",-106.4288088,32.0513075
"Chatsworth, CA, United States",-118.61481,34.2506356
"Hollywood, FL, United States",-80.1494901,26.0112014
"Moca, PR, United States",-67.1132356,18.3946688
"Kenbridge, VA, United States",-78.125,36.9620944
"Sacramento, CA, United States",-121.4943996,38.5815719
"Wasilla, AK, United States",-149.4394444,61.5813889
"Ocean Shores, WA, United States",-124.1562852,46.9736986
"Angleton, TX, United States",-95.4318847,29.16941
"East Brunswick, NJ, United States",-74.4049778,40.4316955
"Long Beach, CA, United States",-118.1937395,33.7700504
"Boothwyn, PA, United States",-75.4415843,39.8301125
"Marshall, TX, United States",-94.3674184,32.5448714
"Rockford, AL, United States",-86.2196936,32.8895681
"Marysville, CA, United States",-121.5913547,39.1457253
"Toa Alta, PR, United States",-66.2482237,18.3882823
"Macon, GA, United States",-83.6324022,32.8406946
"Sterling, IL, United States",-89.6962194,41.788642
"Tuskegee, AL, United States",-85.7077266,32.430237
"New Haven, CT, United States",-72.9278835,41.308274
"Christiana, TN, United States",-86.399437,35.7100683
"Guaynabo, PR, United States",-66.1110682,18.3615548
"Santa Rosa, CA, United States",-122.7140548,38.440429
"Queens, NY, United States",-73.7948516,40.7282239
"Welch, OK, United States",-95.0957968,36.8736854
"Wichita, KS, United States",-97.330053,37.6871761
"Shelby, NC, United States",-81.5356463,35.2923513
"Palmdale, CA, United States",-118.1164613,34.5794343
"Gaithersburg, MD, United States",-77.2013705,39.1434406
"Pasadena, TX, United States",-95.2091006,29.6910625
"South River, NJ, United States",-74.3859831,40.446495
"Paterson, NJ, United States",-74.171811,40.9167654
"Orlando, FL, United States",-81.3792365,28.5383355
"Irvine, CA, United States",-117.7946942,33.6839473
"Bayonne, NJ, United States",-74.1143091,40.6687141
"Beckley, WV, United States",-81.1881557,37.7781702
"Roseboro, NC, United States",-78.5086181,34.9529475
"Fulton, MS, United States",-88.4092133,34.2739933
"Jonestown, PA, United States",-76.4782965,40.4137017
"Bryan, TX, United States",-96.3699632,30.6743643
"Quincy, CA, United States",-120.9471764,39.9368363
"Suffern, NY, United States",-74.1495889,41.1148179
"Benton Harbor, MI, United States",-86.4541894,42.1167065
"Jackson, TN, United States",-88.8139469,35.6145169
"Sparta, TN, United States",-85.4641421,35.9258985
"West Chesterfield, NH, United States",-72.5151566,42.9036282
"Hilliard, OH, United States",-83.1582451,40.0333961
"Tracy, CA, United States",-121.4252227,37.7396513
"Revere, MA, United States",-71.0119948,42.4084302
"Avondale, AZ, United States",-112.3496021,33.4355977
"Henderson, TX, United States",-94.7993802,32.1532156
"La Grange, NC, United States",-77.7880337,35.3068292
"Clinton, LA, United States",-91.0156594,30.8657362
"Erie, PA, United States",-80.085059,42.1292241
"Eloy, AZ, United States",-111.554844,32.7558962
"Nashville, TN, United States",-86.7816016,36.1626638
"Charlottesville, VA, United States",-78.4766781,38.0293059
"Rosedale, MD, United States",-76.5155191,39.3201074
"Adjuntas, PR, United States",-66.7221187,18.1627363
"Torrance, CA, United States",-118.3406288,33.8358492
"Galax, VA, United States",-80.9239671,36.6612387
"Henrico, VA, United States",-77.3324425,37.5059332
"Independence, MO, United States",-94.4155068,39.0911161
"Burlington, NJ, United States",-74.8648873,40.071222
"Ely, NV, United States",-114.8886296,39.2474393
"Black Earth, WI, United States",-89.7467896,43.1372152
"Shiprock, NM, United States",-108.6870322,36.7855543
"Jacksonville, FL, United States",-81.655651,30.3321838
"Franklin, TN, United States",-86.8688899,35.9250637
"Quincy, MA, United States",-71.0022705,42.2528772
"Saratoga Springs, UT, United States",-111.9044877,40.3301898
"Minot, ND, United States",-101.2922906,48.2329668
"Kent, OH, United States",-81.3578859,41.1536674
"Channelview, TX, United States",-95.1146533,29.7760599
"Lake Los Angeles, CA, United States",-117.8281193,34.6124905
"Cape Girardeau, MO, United States",-89.5181476,37.3058839
"Pea Ridge, AR, United States",-94.1152041,36.4539625
"Craig, CO, United States",-107.5464541,40.5152491
"North Lake Tahoe, CA, United States",-120.0314979,39.237984
"Harlingen, TX, United States",-97.6961026,26.1906306
"Rancho St. Margarita, CA, United States",-117.603104,33.640855
"Hubbard, OH, United States",-80.569239,41.1564463
"Apopka, FL, United States",-81.5322149,28.6934076
"Victorville, CA, United States",-117.2927641,34.5362184
"Saint David, AZ, United States",-110.2142399,31.9042517
"Littleton, CO, United States",-105.0166498,39.613321
"Clermont, FL, United States",-81.7728543,28.5494447
"Nogales, AZ, United States",-110.9342532,31.3403775
"Vernon, CT, United States",-72.479037,41.8186802
"Tallahassee, FL, United States",-84.2807329,30.4382559
"Ellenton, FL, United States",-82.5275963,27.521705
"San Fernando, CA, United States",-118.4389719,34.2819461
"Godwin, NC, United States",-78.6814075,35.2176639
"McCleary, WA, United States",-123.2654308,47.053151
"Downey, CA, United States",-118.1331593,33.9401088
"Grahamsville, NY, United States",-74.547935,41.8478701
"Evans, GA, United States",-82.1306747,33.5337464
"Newton, MA, United States",-71.2092214,42.3370413
"Antigo, WI, United States",-89.1523353,45.140245
"Alliance, OH, United States",-81.1059309,40.9153362
"Omaha, NE, United States",-95.9979883,41.2523634
"El Ciruelo, NULL, Mexico",NA,NA
"Asotin, WA, United States",-117.0482116,46.3393265
"Calexico, CA, United States",-115.4988834,32.6789476
"Carolina Beach, NC, United States",-77.8935966,34.0351726
"Malden, WA, United States",-117.4726928,47.2287814
"Spring, TX, United States",-95.4171601,30.0799405
"Corvallis, OR, United States",-123.2620435,44.5645659
"Belchertown, MA, United States",-72.4008884,42.2770346
"Plainsboro, NJ, United States",-74.585292,40.3382543
"Bonita Springs, FL, United States",-81.7786972,26.339806
"San Marcos, CA, United States",-117.1661449,33.1433723
"Tempe, AZ, United States",-111.9400054,33.4255104
"Savannah, TN, United States",-88.2492037,35.2248034
"Milwaukee, WI, United States",-87.9064736,43.0389025
"Bedford, VA, United States",-79.5230877,37.3343079
"Savannah, GA, United States",-81.0998342,32.0835407
"Inkster, MI, United States",-83.3099303,42.2942045
"Decatur, GA, United States",-84.2963123,33.7748275
"San Ramon, CA, United States",-121.9780153,37.7799273
"Saint Croix, VI, United States",-64.7736445,17.7291535
"West Bloomfield, MI, United States",-83.373339,42.5678534
"Newark, DE, United States",-75.7496572,39.6837226
"Raleigh, NC, United States",-78.6381787,35.7795897
"Yabucoa, PR, United States",-65.8793288,18.0505201
"Poplar, MT, United States",-105.1983149,48.1130741
"Schenectady, NY, United States",-73.9395687,42.8142432
"South Sioux City, NE, United States",-96.4130601,42.4648558
"Syracuse, NY, United States",-76.1474244,43.0481221
"North Hills, CA, United States",-118.4849365,34.235822
"West Palm Beach, FL, United States",-80.0533746,26.7153424
"Batavia, OH, United States",-84.1768795,39.0770072
"La Plume, PA, United States",-75.754592,41.5580976
"East Meadow, NY, United States",-73.5590157,40.7139898
"Grove City, PA, United States",-80.0886703,41.1578377
"Jericho, VT, United States",-72.9976266,44.5039395
"Burlington, VT, United States",-73.212072,44.4758825
"Capitola, CA, United States",-121.953293,36.9752283
